NAME,ALC_PERCENTAGE,PRICE,LINK
The Legendary Dark Silkie Irish Whiskey,70cl / 46%,GBP 35.75,https://www.thewhiskyexchange.com//p/55235/the-legendary-dark-silkie-irish-whiskey
Jameson United Limited EditionPink Label,70cl / 40%,GBP 23.95,https://www.thewhiskyexchange.com//p/54353/jameson-united-limited-edition-pink-label
Drumshanbo Single Pot Still Inaugural Whisky,70cl / 46%,GBP 150,https://www.thewhiskyexchange.com//p/53565/drumshanbo-single-pot-still-inaugural-whisky
The Pogues Single Malt Irish Whiskey,70cl / 40%,GBP 22.25,https://www.thewhiskyexchange.com//p/51160/the-pogues-single-malt-irish-whiskey
Dunville's Three Crowns Peated Whiskey,70cl / 43.5%,GBP 48.95,https://www.thewhiskyexchange.com//p/50395/dunvilles-three-crowns-peated-whiskey
Hinch Small Batch Bourbon Cask Irish Whiskey,70cl / 43%,GBP 37.75,https://www.thewhiskyexchange.com//p/49940/hinch-small-batch-bourbon-cask-irish-whiskey
Egan's Vintage Grain,70cl / 46%,GBP 43.45,https://www.thewhiskyexchange.com//p/49928/egans-vintage-grain
Green Spot Chateau Montelena Zinfandel Finish,70cl / 46%,GBP 65.75,https://www.thewhiskyexchange.com//p/45889/green-spot-chateau-montelena-zinfandel-finish
Method and Madness Maple Wood Finish,70cl / 57.1%,GBP 99.95,https://www.thewhiskyexchange.com//p/40018/method-and-madness-maple-wood-finish
Dubliner Bourbon Cask Blended Irish Whiskey,70cl / 40%,GBP 24.95,https://www.thewhiskyexchange.com//p/37807/dubliner-bourbon-cask-blended-irish-whiskey
Kinahan's Small Batch Irish Whiskey,70cl / 46%,GBP 31.95,https://www.thewhiskyexchange.com//p/34611/kinahans-small-batch-irish-whiskey
Tullamore Dew 14 Year Old,70cl / 41.3%,GBP 57.75,https://www.thewhiskyexchange.com//p/34364/tullamore-dew-14-year-old
Midleton 1991 Single Cask24 Year Old Exclusive to The Whisky Exchange,70cl / 55.2%,"GBP 2,000",https://www.thewhiskyexchange.com//p/32259/midleton-1991-single-cask-24-year-old-exclusive-to-the-whisky-exchange
Redbreast 1999Sherry Cask Bot.2015 . Exclusive to The Whisky Exchange,70cl / 59.9%,GBP 750,https://www.thewhiskyexchange.com//p/32258/redbreast-1999-sherry-cask-bot2015-exclusive-to-the-whisky-exchange
